Lat,Lon
37.52178,-80.81912
37.515358,-80.77426
37.508926,-80.72937
37.50248,-80.68454
37.496017,-80.63968
37.489532,-80.59485
37.483032,-80.55002
37.47651,-80.50519
37.469975,-80.46039
37.463425,-80.41559
37.45685,-80.37079
37.45026,-80.32599
37.443653,-80.28119
37.437027,-80.23642
37.43038,-80.19165
37.423725,-80.14691
37.41705,-80.10214
37.41036,-80.0574
37.40365,-80.012695
37.39691,-79.96796
37.39017,-79.92322
37.383408,-79.87854
37.37662,-79.83383
37.369823,-79.78912
37.36301,-79.744446
37.356182,-79.69977
37.34933,-79.65512
37.342457,-79.61047
37.33557,-79.565796
37.328667,-79.52118
37.321747,-79.47653
37.314804,-79.431915
37.30785,-79.3873
37.30088,-79.34268
37.29389,-79.298096
37.28688,-79.25351
37.279858,-79.20892
37.272816,-79.16437
37.26575,-79.11978
37.258675,-79.07526
37.251583,-79.0307
37.244476,-78.986145
37.237343,-78.94162
37.23019,-78.897095
37.22303,-78.8526
37.215847,-78.808105
37.208652,-78.76361
37.201435,-78.71912
37.1942,-78.67465
37.186947,-78.63019
37.179676,-78.585724
37.172398,-78.54126
37.165096,-78.496826
37.157776,-78.45239
37.15044,-78.40799
37.14309,-78.36359
37.135708,-78.31915
37.128326,-78.27478
37.120922,-78.23041
37.113495,-78.186005
37.106052,-78.14166
37.0986,-78.09729
37.091125,-78.05295
37.08363,-78.008606
37.076122,-77.964264
37.06859,-77.91995
37.06105,-77.87564
37.05349,-77.83133
37.04591,-77.78705
37.038315,-77.74277
37.030704,-77.69849
37.023075,-77.654236
37.01543,-77.609955
37.007767,-77.565735
37.00008,-77.521484
36.992382,-77.477234
36.98466,-77.433044
36.976936,-77.388824
36.969185,-77.344604
36.961422,-77.300415
36.953625,-77.256256
36.94583,-77.2121
36.93802,-77.16791
36.93018,-77.12378
36.922325,-77.07962
36.914455,-77.03549
36.90657,-76.99136
36.898663,-76.947266
36.890743,-76.90314
36.882812,-76.85907
36.87485,-76.81497
36.86687,-76.770874
36.85889,-76.72681
36.850887,-76.68277
36.84285,-76.63873
36.83482,-76.594666
36.82676,-76.55066
36.818684,-76.50665
36.810596,-76.46265
36.802494,-76.41864
36.79436,-76.37463
